productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extDescription,extGTIN,extSKU,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extCardType,extElement,extCost,extJob,extPower,extCategory
509412,Beyond Destiny Booster Pack,Beyond Destiny Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/509412_200w.jpg,24,23271,https://cpt.tcgcsv.com/gN56,2023-11-17T05:03:20.303,1,None,Each booster pack contains 12 random cards.,662248847863,SQE847870,3.49,5.75,6.0,5.38,,Normal,,,,,,,
509413,Beyond Destiny Booster Box,Beyond Destiny Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/509413_200w.jpg,24,23271,https://cpt.tcgcsv.com/hN56,2023-11-17T05:03:20.303,1,None,Each Beyond Destiny Booster Box comes with 36 packs of 12 random cards.,662248847870,SQE847870,79.0,97.7,119.97,87.26,,Normal,,,,,,,
509414,Beyond Destiny Booster Box Case,Beyond Destiny Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/509414_200w.jpg,24,23271,https://cpt.tcgcsv.com/jN56,2023-11-17T05:03:20.303,1,None,Each sealed case contains 6 booster boxes of 36 booster packs.,662248847887,SQE847870,569.99,587.5,900.0,540.0,,Normal,,,,,,,
509415,Beyond Destiny Prerelease Kit,Beyond Destiny Prerelease Kit,https://tcgplayer-cdn.tcgplayer.com/product/509415_200w.jpg,24,23271,https://cpt.tcgcsv.com/kN56,2023-11-11T05:03:11.81,1,None,"Each Beyond Destiny PRE-RELEASE KIT contains:
<br>• Nine (9) Beyond Destiny Booster Packs
<br>• One (1) Pre-Release Exclusive Promo Card
<br>• One (1) Pre-Release Exclusive Sleeve Pack",662248847917,SQE847917,28.16,34.26,59.94,31.36,,Normal,,,,,,,
520734,Princess Sarah,Princess Sarah,https://tcgplayer-cdn.tcgplayer.com/product/520734_200w.jpg,24,23271,https://cpt.tcgcsv.com/Jjb6,2023-11-17T05:03:20.303,1,Legend,"0: Choose 1 Forward. Until the end of the turn, it gains ""This Forward cannot be chosen by EX Bursts."" You can only use this ability during your MainPhase and only once per turn.
<br>T, discard 1 Job Princess: Choose 1 Forward. During this turn, the next damage dealt to it becomes 0 instead.",,,0.3,1.0,6.25,0.46,,Foil,21-048L,Backup,Wind,2,Princess,,
520734,Princess Sarah,Princess Sarah,https://tcgplayer-cdn.tcgplayer.com/product/520734_200w.jpg,24,23271,https://cpt.tcgcsv.com/Jjb6,2023-11-17T05:03:20.303,1,Legend,"0: Choose 1 Forward. Until the end of the turn, it gains ""This Forward cannot be chosen by EX Bursts."" You can only use this ability during your MainPhase and only once per turn.
<br>T, discard 1 Job Princess: Choose 1 Forward. During this turn, the next damage dealt to it becomes 0 instead.",,,0.25,0.79,3.0,0.98,,Normal,21-048L,Backup,Wind,2,Princess,,
520736,Jack Garland,Jack Garland,https://tcgplayer-cdn.tcgplayer.com/product/520736_200w.jpg,24,23271,https://cpt.tcgcsv.com/Ljb6,2023-11-17T05:03:20.303,1,Legend,"Jack Garland is also Card Name Garland in all situations.
<br>Brave
<br>When Jack Garland enters the field, you may search for 1 Category SOPFFO Foward and add it to your hand.
<br>T: Choose 1 Dark Character. Break it. Jack Garland deals you 1 point of damage.",,,1.1,3.77,11.06,4.08,,Foil,21-124L,Forward,Dark,3,Stranger,9000,
520736,Jack Garland,Jack Garland,https://tcgplayer-cdn.tcgplayer.com/product/520736_200w.jpg,24,23271,https://cpt.tcgcsv.com/Ljb6,2023-11-17T05:03:20.303,1,Legend,"Jack Garland is also Card Name Garland in all situations.
<br>Brave
<br>When Jack Garland enters the field, you may search for 1 Category SOPFFO Foward and add it to your hand.
<br>T: Choose 1 Dark Character. Break it. Jack Garland deals you 1 point of damage.",,,0.5,2.45,6.99,2.11,,Normal,21-124L,Forward,Dark,3,Stranger,9000,
520737,Darkness Manifest,Darkness Manifest,https://tcgplayer-cdn.tcgplayer.com/product/520737_200w.jpg,24,23271,https://cpt.tcgcsv.com/Mjb6,2023-11-17T05:03:20.303,1,Hero,"You can pay 2 and remove 1 Fire, 1 Wind, 1 Earth and 1 Water Character in your Break Zone from the game (instead of paying the CP cost) to cast Darkness Manifest.
<br>At the beginning of Main Phase 1 during each of your turns, Darkness Manifest deals your opponent 1 point of damage.
<br>When Darkness Manifest leaves the field, choose 1 Character. Break it.",,,0.1,0.3,1.42,0.3,,Normal,21-123H,Forward,Dark,7,Chaos,9000,
520737,Darkness Manifest,Darkness Manifest,https://tcgplayer-cdn.tcgplayer.com/product/520737_200w.jpg,24,23271,https://cpt.tcgcsv.com/Mjb6,2023-11-17T05:03:20.303,1,Hero,"You can pay 2 and remove 1 Fire, 1 Wind, 1 Earth and 1 Water Character in your Break Zone from the game (instead of paying the CP cost) to cast Darkness Manifest.
<br>At the beginning of Main Phase 1 during each of your turns, Darkness Manifest deals your opponent 1 point of damage.
<br>When Darkness Manifest leaves the field, choose 1 Character. Break it.",,,0.17,0.7,5.0,0.67,,Foil,21-123H,Forward,Dark,7,Chaos,9000,
