productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extGTIN,extNumber,extCardType,extElement,extCost,extPower,extJob,extCategory
532134,Hidden Hope Booster Box,Hidden Hope Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/532134_200w.jpg,24,23344,https://cpt.tcgcsv.com/JSg6,2024-03-22T04:03:14.08,1,None,Each Beyond Destiny Booster Box comes with 36 packs of 12 random cards.,92.0,101.95,118.64,86.21,,Normal,,,,,,,,
532137,Hidden Hope Booster Box Case,Hidden Hope Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/532137_200w.jpg,24,23344,https://cpt.tcgcsv.com/MSg6,2024-03-22T04:03:14.08,1,None,Each sealed case contains 6 booster boxes of 36 booster packs.,610.0,755.0,900.0,614.99,,Normal,,,,,,,,
532147,Hidden Hope Booster Pack,Hidden Hope Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/532147_200w.jpg,24,23344,https://cpt.tcgcsv.com/ZSg6,2024-03-22T04:03:14.08,1,None,Each booster pack contains 12 random cards.,4.76,4.88,5.0,4.79,,Normal,,,,,,,,
532188,Hidden Hope Prerelease Kit,Hidden Hope Prerelease Kit,https://tcgplayer-cdn.tcgplayer.com/product/532188_200w.jpg,24,23344,https://cpt.tcgcsv.com/NTg6,2024-03-22T04:03:14.08,1,None,"Each Hidden Hope Prerelease Kit contains:
<br>• 9 Hidden Hope booster packs
<br>• 1 prerelease promo
<br>• 1 pack of sleeves",42.0,49.47,54.68,50.06,,Normal,662248849959,,,,,,,
542982,Zack LB,Zack LB,https://tcgplayer-cdn.tcgplayer.com/product/542982_200w.jpg,24,23344,https://cpt.tcgcsv.com/Gcm6,2024-03-22T04:03:14.08,1,Rare,"(Cards with LB cannot be included in your main deck.)
<br>Limit Break — 1
<br>When Zack enters the field, choose 1 Forward. Deal it 3000 damage.",0.2,0.3,1.0,0.23,,Normal,,22-112R,Forward,Fire,3,7000,SOLDIER,VII
542982,Zack LB,Zack LB,https://tcgplayer-cdn.tcgplayer.com/product/542982_200w.jpg,24,23344,https://cpt.tcgcsv.com/Gcm6,2024-03-22T04:03:14.08,1,Rare,"(Cards with LB cannot be included in your main deck.)
<br>Limit Break — 1
<br>When Zack enters the field, choose 1 Forward. Deal it 3000 damage.",4.41,4.5,5.99,4.37,,Foil,,22-112R,Forward,Fire,3,7000,SOLDIER,VII
542983,Ace LB,Ace LB,https://tcgplayer-cdn.tcgplayer.com/product/542983_200w.jpg,24,23344,https://cpt.tcgcsv.com/Hcm6,2024-03-22T04:03:14.08,1,Legend,"Limit Break — 3
<br>When Ace enters the field, deal 1000 damage for each Wind Character you control to all the Forwards opponent controls.
<br>When Ace attacks, reveal the top card of your deck. If it is a Wind card, add it to your hand.",3.0,5.3,17.88,4.32,,Foil,,22-116L,Forward,Wind,8,8000,Class Zero Cadet,Type-0;DFF
542983,Ace LB,Ace LB,https://tcgplayer-cdn.tcgplayer.com/product/542983_200w.jpg,24,23344,https://cpt.tcgcsv.com/Hcm6,2024-03-22T04:03:14.08,1,Legend,"Limit Break — 3
<br>When Ace enters the field, deal 1000 damage for each Wind Character you control to all the Forwards opponent controls.
<br>When Ace attacks, reveal the top card of your deck. If it is a Wind card, add it to your hand.",2.65,4.0,12.99,3.08,,Normal,,22-116L,Forward,Wind,8,8000,Class Zero Cadet,Type-0;DFF
542984,Viktora LB,Viktora LB,https://tcgplayer-cdn.tcgplayer.com/product/542984_200w.jpg,24,23344,https://cpt.tcgcsv.com/Jcm6,2024-03-22T04:03:14.08,1,Hero,"Limit Break — 2
<br>If your opponent has no cards in their hand, Viktora gains +3000 power.
<br>When Viktora enters the field, choose 1 Forward. If your opponent has 2 cards or less in their hand, deal it 7000 damage.",2.72,3.0,4.99,3.47,,Foil,,22-114H,Forward,Ice,4,7000,Dragoon,FFBE
542984,Viktora LB,Viktora LB,https://tcgplayer-cdn.tcgplayer.com/product/542984_200w.jpg,24,23344,https://cpt.tcgcsv.com/Jcm6,2024-03-22T04:03:14.08,1,Hero,"Limit Break — 2
<br>If your opponent has no cards in their hand, Viktora gains +3000 power.
<br>When Viktora enters the field, choose 1 Forward. If your opponent has 2 cards or less in their hand, deal it 7000 damage.",1.39,1.6,2.54,1.38,,Normal,,22-114H,Forward,Ice,4,7000,Dragoon,FFBE
