productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extCardType,extElement,extCost,extPower,extJob,extCategory,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extGTIN,extSKU
132761,Sephiroth,Sephiroth,https://tcgplayer-cdn.tcgplayer.com/product/132761_200w.jpg,24,1941,https://cpt.tcgcsv.com/f752,2020-06-09T20:14:15.933,1,Promo,PR-001,<strong>Hell's Gate</strong> [S][2][Dull]: Choose 1 Backup. Break it.,Forward,Dark,4,8000,War Hero,VII,5.51,6.75,14.49,6.8,,Foil,,
132761,Sephiroth,Sephiroth,https://tcgplayer-cdn.tcgplayer.com/product/132761_200w.jpg,24,1941,https://cpt.tcgcsv.com/f752,2020-06-09T20:14:15.933,1,Promo,PR-001,<strong>Hell's Gate</strong> [S][2][Dull]: Choose 1 Backup. Break it.,Forward,Dark,4,8000,War Hero,VII,1.64,2.43,5.49,1.67,,Normal,,
132762,Vincent,Vincent,https://tcgplayer-cdn.tcgplayer.com/product/132762_200w.jpg,24,1941,https://cpt.tcgcsv.com/g752,2020-06-09T20:14:38.937,1,Promo,PR-002,"<strong>Limit Break</strong> [S][E][1]: Until the ned of the turn, Vincent gains +5000 power, <b>First Strike</b> and <b>Brave</b>.",Forward,Earth,3,7000,Gunslinger,VII,1.45,1.87,3.77,1.8,,Normal,,
132762,Vincent,Vincent,https://tcgplayer-cdn.tcgplayer.com/product/132762_200w.jpg,24,1941,https://cpt.tcgcsv.com/g752,2020-06-09T20:14:38.937,1,Promo,PR-002,"<strong>Limit Break</strong> [S][E][1]: Until the ned of the turn, Vincent gains +5000 power, <b>First Strike</b> and <b>Brave</b>.",Forward,Earth,3,7000,Gunslinger,VII,1.9,2.82,4.5,2.59,,Foil,,
132763,Lightning,Lightning,https://tcgplayer-cdn.tcgplayer.com/product/132763_200w.jpg,24,1941,https://cpt.tcgcsv.com/h752,2020-06-09T20:15:05.627,1,Promo,PR-003,<strong>Legion of One</strong> [S][P]: <b>Activate</b> Lightning. Lightning gains <b>First Strike</b> until the end of the turn.,Forward,Lightning,5,9000,Knight,XIII,9.0,12.45,25.0,9.32,,Foil,,
132763,Lightning,Lightning,https://tcgplayer-cdn.tcgplayer.com/product/132763_200w.jpg,24,1941,https://cpt.tcgcsv.com/h752,2020-06-09T20:15:05.627,1,Promo,PR-003,<strong>Legion of One</strong> [S][P]: <b>Activate</b> Lightning. Lightning gains <b>First Strike</b> until the end of the turn.,Forward,Lightning,5,9000,Knight,XIII,1.25,2.14,9.99,1.85,,Normal,,
139043,Lann (Alternate Art Promo),Lann Alternate Art Promo,https://tcgplayer-cdn.tcgplayer.com/product/139043_200w.jpg,24,1941,https://cpt.tcgcsv.com/TD72,2020-06-09T20:15:57.523,1,Hero,PR-004/1-027H,"Lann cannot be blocked by a Forward with a power greater than his. 
<br>Lann cannot block a Forward with power greater than his.",Forward,Fire,3,7000,Mirage Keeper,World of Final Fantasy,0.08,0.25,1.22,0.35,,Normal,,
139043,Lann (Alternate Art Promo),Lann Alternate Art Promo,https://tcgplayer-cdn.tcgplayer.com/product/139043_200w.jpg,24,1941,https://cpt.tcgcsv.com/TD72,2020-06-09T20:15:57.523,1,Hero,PR-004/1-027H,"Lann cannot be blocked by a Forward with a power greater than his. 
<br>Lann cannot block a Forward with power greater than his.",Forward,Fire,3,7000,Mirage Keeper,World of Final Fantasy,0.18,0.5,1.5,0.63,,Foil,,
145671,Laguna EX (Alternate Art Promo),Laguna EX Alternate Art Promo,https://tcgplayer-cdn.tcgplayer.com/product/145671_200w.jpg,24,1941,https://cpt.tcgcsv.com/rhb2,2023-03-22T14:28:33.263,1,Rare,PR-005/1-059R,"<strong>EX BURST</strong> When Laguna enters the field, choose 1 Forward opponent controls. <strong>Dull</strong> it. If you control <em>Card Name Squall</em>, <strong>Freeze</strong> this Forward also.
<br>If you control <em>Card Name Squall</em>, Laguna gains +2000 power.",Forward,Ice,4,7000,Marksman,VIII;DFF,0.24,0.74,2.75,0.41,,Normal,,
145671,Laguna EX (Alternate Art Promo),Laguna EX Alternate Art Promo,https://tcgplayer-cdn.tcgplayer.com/product/145671_200w.jpg,24,1941,https://cpt.tcgcsv.com/rhb2,2023-03-22T14:28:33.263,1,Rare,PR-005/1-059R,"<strong>EX BURST</strong> When Laguna enters the field, choose 1 Forward opponent controls. <strong>Dull</strong> it. If you control <em>Card Name Squall</em>, <strong>Freeze</strong> this Forward also.
<br>If you control <em>Card Name Squall</em>, Laguna gains +2000 power.",Forward,Ice,4,7000,Marksman,VIII;DFF,0.94,1.5,5.05,1.65,,Foil,,
145672,Onion Knight (Alternate Art Promo),Onion Knight Alternate Art Promo,https://tcgplayer-cdn.tcgplayer.com/product/145672_200w.jpg,24,1941,https://cpt.tcgcsv.com/shb2,2023-03-22T14:28:46.087,1,Promo,PR-006/1-181H,"<strong>Haste</strong>
<br>[1][Dull], return Onion Knight to its owner's hand: You may play 1 <em>Card Name Onion Knight</em> from your hand onto the field. You can only use this ability during your turn.",Forward,Light,2,5000,Onion Knight,III;DFF,0.15,0.3,2.7,0.26,,Normal,,
145672,Onion Knight (Alternate Art Promo),Onion Knight Alternate Art Promo,https://tcgplayer-cdn.tcgplayer.com/product/145672_200w.jpg,24,1941,https://cpt.tcgcsv.com/shb2,2023-03-22T14:28:46.087,1,Promo,PR-006/1-181H,"<strong>Haste</strong>
<br>[1][Dull], return Onion Knight to its owner's hand: You may play 1 <em>Card Name Onion Knight</em> from your hand onto the field. You can only use this ability during your turn.",Forward,Light,2,5000,Onion Knight,III;DFF,0.64,0.73,6.65,0.8,,Foil,,
149303,Sazh (Alternate Art Promo),Sazh Alternate Art Promo,https://tcgplayer-cdn.tcgplayer.com/product/149303_200w.jpg,24,1941,https://cpt.tcgcsv.com/5Lc2,2019-02-04T17:31:07.637,1,Promo,PR-007/2-006R,"When Sazh attacks, choose 1 Forward opponent controls. Deal it 1000 damage for each point of damage you have received.",,,,,,,0.1,0.25,1.25,0.19,,Normal,,
