productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extCardType,extElement,extCost,extJob,extCategory,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extPower
132591,Irvine,Irvine,https://tcgplayer-cdn.tcgplayer.com/product/132591_200w.jpg,24,1940,https://cpt.tcgcsv.com/R252,2017-06-06T01:29:49.973,1,Hero,2-001H,"When Irvine enters the field, choose 1 Forward. Deal it 6000 damage.",Backup,Fire,3,Sniper,VIII,0.48,0.55,1.79,0.51,,Foil,
132591,Irvine,Irvine,https://tcgplayer-cdn.tcgplayer.com/product/132591_200w.jpg,24,1940,https://cpt.tcgcsv.com/R252,2017-06-06T01:29:49.973,1,Hero,2-001H,"When Irvine enters the field, choose 1 Forward. Deal it 6000 damage.",Backup,Fire,3,Sniper,VIII,0.35,0.45,1.0,0.45,,Normal,
132592,Ifrit EX,Ifrit EX,https://tcgplayer-cdn.tcgplayer.com/product/132592_200w.jpg,24,1940,https://cpt.tcgcsv.com/S252,2017-06-06T01:29:46.347,1,Common,2-002C,<b>EX BURST</b> Choose 1 Forward. Deal it 6000 damage.,Summon,Fire,2,,VIII,0.04,0.15,0.99,0.12,,Normal,
132592,Ifrit EX,Ifrit EX,https://tcgplayer-cdn.tcgplayer.com/product/132592_200w.jpg,24,1940,https://cpt.tcgcsv.com/S252,2017-06-06T01:29:46.347,1,Common,2-002C,<b>EX BURST</b> Choose 1 Forward. Deal it 6000 damage.,Summon,Fire,2,,VIII,0.25,0.49,11.99,0.43,,Foil,
132593,Ward,Ward,https://tcgplayer-cdn.tcgplayer.com/product/132593_200w.jpg,24,1940,https://cpt.tcgcsv.com/T252,2017-06-06T01:29:41.73,1,Common,2-003C,"When Ward attacks, Ward gains +3000 power until the end of the turn.",Forward,Fire,3,Warrior,VIII,0.2,0.35,1.0,,,Foil,5000
132593,Ward,Ward,https://tcgplayer-cdn.tcgplayer.com/product/132593_200w.jpg,24,1940,https://cpt.tcgcsv.com/T252,2017-06-06T01:29:41.73,1,Common,2-003C,"When Ward attacks, Ward gains +3000 power until the end of the turn.",Forward,Fire,3,Warrior,VIII,0.08,0.11,0.99,0.09,,Normal,5000
132594,Ephemeral Phantom,Ephemeral Phantom,https://tcgplayer-cdn.tcgplayer.com/product/132594_200w.jpg,24,1940,https://cpt.tcgcsv.com/V252,2023-03-22T15:07:25.493,1,Common,2-004C,"When your opponent controls 2 or more Forwards, Ephemeral Phantom gains +2000 power.",Forward,Fire,2,Manikin,DFF,0.45,0.49,1.0,0.48,,Foil,5000
132594,Ephemeral Phantom,Ephemeral Phantom,https://tcgplayer-cdn.tcgplayer.com/product/132594_200w.jpg,24,1940,https://cpt.tcgcsv.com/V252,2023-03-22T15:07:25.493,1,Common,2-004C,"When your opponent controls 2 or more Forwards, Ephemeral Phantom gains +2000 power.",Forward,Fire,2,Manikin,DFF,0.02,0.15,0.99,0.09,,Normal,5000
132595,Sage (Luneth),Sage Luneth,https://tcgplayer-cdn.tcgplayer.com/product/132595_200w.jpg,24,1940,https://cpt.tcgcsv.com/W252,2017-06-06T01:30:06.69,1,Common,2-005C,"When Sage enters the field, choose 1 Forward. It gains <b>Haste</b> until the end of the turn.",Backup,Fire,2,Standard Unit,III,0.01,0.1,0.99,0.08,,Normal,
132595,Sage (Luneth),Sage Luneth,https://tcgplayer-cdn.tcgplayer.com/product/132595_200w.jpg,24,1940,https://cpt.tcgcsv.com/W252,2017-06-06T01:30:06.69,1,Common,2-005C,"When Sage enters the field, choose 1 Forward. It gains <b>Haste</b> until the end of the turn.",Backup,Fire,2,Standard Unit,III,0.25,0.5,5.0,0.46,,Foil,
