productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extCardType,extElement,extCost,extPower,extJob,extCategory
157795,Opus V Booster Box,Opus V Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/157795_200w.jpg,24,2190,https://cpt.tcgcsv.com/W7h2,2018-01-22T19:59:45.76,1,None,"Opus V enhances the play experience and collectability, featuring popular characters from fan favorite titles like FINAL FANTASY XII, XIII and XIV.
<br><br>
Strengthen your FINAL FANTASY TRADING CARD GAME deck with one of our BOOSTER PACKS! <br><br><strong>Booster packs include:</strong>
<br>• 12 cards total 
<br>• 1 premium foiled card
<br>• 36 packs per display box",58.01,59.48,89.99,58.87,,Normal,,,,,,,
157796,Opus V Booster Pack,Opus V Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/157796_200w.jpg,24,2190,https://cpt.tcgcsv.com/X7h2,2018-01-22T20:00:27.037,1,None,"Opus V enhances the play experience and collectability, featuring popular characters from fan favorite titles like FINAL FANTASY XII, XIII and XIV.
<br><br>
Strengthen your FINAL FANTASY TRADING CARD GAME deck with one of our BOOSTER PACKS! <br><br><strong>Booster packs include:</strong>
<br>• 12 cards total 
<br>• 1 premium foiled card",2.99,3.97,9.99,2.99,,Normal,,,,,,,
157797,Final Fantasy XII Starter Set 2018,Final Fantasy XII Starter Set 2018,https://tcgplayer-cdn.tcgplayer.com/product/157797_200w.jpg,24,2190,https://cpt.tcgcsv.com/Z7h2,2018-01-22T19:58:09.213,1,None,"<strong>Contents:</strong>
<br>• 1 Deck = 50x Cards
<br>• (Starter Set Exclusive “S” cards included)
<br>• Rule guide and Play sheet included",25.99,29.91,29.99,23.99,,Normal,,,,,,,
157798,Final Fantasy XIII Starter Set 2018,Final Fantasy XIII Starter Set 2018,https://tcgplayer-cdn.tcgplayer.com/product/157798_200w.jpg,24,2190,https://cpt.tcgcsv.com/-7h2,2018-01-22T19:58:21.91,1,None,"<strong>Contents:</strong>
<br>• 1 Deck = 50x Cards
<br>• (Starter Set Exclusive “S” cards included)
<br>• Rule guide and Play sheet included",24.95,24.95,24.99,23.28,,Normal,,,,,,,
157799,Final Fantasy XIV Starter Set 2018,Final Fantasy XIV Starter Set 2018,https://tcgplayer-cdn.tcgplayer.com/product/157799_200w.jpg,24,2190,https://cpt.tcgcsv.com/_7h2,2018-01-22T19:58:32.013,1,None,"<strong>Contents:</strong>
<br>• 1 Deck = 50x Cards
<br>• (Starter Set Exclusive “S” cards included)
<br>• Rule guide and Play sheet included",34.99,34.99,37.99,36.18,,Normal,,,,,,,
162328,Caius,Caius,https://tcgplayer-cdn.tcgplayer.com/product/162328_200w.jpg,24,2190,https://cpt.tcgcsv.com/BXj2,2018-03-20T10:38:43.103,1,Rare,"<strong>Brave</strong> 
<br>When Caius is put from the field into the Break Zone, discard 1 card from your hand.",0.35,0.48,1.04,,,Foil,5-004R,Forward,Fire,4,9000,Guardian of the Seeress,XIII
162328,Caius,Caius,https://tcgplayer-cdn.tcgplayer.com/product/162328_200w.jpg,24,2190,https://cpt.tcgcsv.com/BXj2,2018-03-20T10:38:43.103,1,Rare,"<strong>Brave</strong> 
<br>When Caius is put from the field into the Break Zone, discard 1 card from your hand.",0.04,0.13,0.99,0.09,,Normal,5-004R,Forward,Fire,4,9000,Guardian of the Seeress,XIII
162329,Gadot,Gadot,https://tcgplayer-cdn.tcgplayer.com/product/162329_200w.jpg,24,2190,https://cpt.tcgcsv.com/CXj2,2018-03-20T10:38:49.347,1,Rare,"The Forwards of cost 2 you control gain +2000 power. 
<br>When Gadot attacks, choose 1 Forward. It gains Haste until the end of the turn.",0.04,0.16,0.99,0.11,,Normal,5-005R,Forward,Fire,4,8000,NORA,XIII
162329,Gadot,Gadot,https://tcgplayer-cdn.tcgplayer.com/product/162329_200w.jpg,24,2190,https://cpt.tcgcsv.com/CXj2,2018-03-20T10:38:49.347,1,Rare,"The Forwards of cost 2 you control gain +2000 power. 
<br>When Gadot attacks, choose 1 Forward. It gains Haste until the end of the turn.",0.69,1.0,19.99,2.33,,Foil,5-005R,Forward,Fire,4,8000,NORA,XIII
162330,Grenade,Grenade,https://tcgplayer-cdn.tcgplayer.com/product/162330_200w.jpg,24,2190,https://cpt.tcgcsv.com/DXj2,2018-03-20T10:43:32.133,1,Rare,"When a Forward of your opponent with 8000 power or less enters the field, put Grenade into the Break Zone. If you do so, deal it 8000 damage.",0.04,0.18,0.99,0.11,,Normal,5-008R,Monster,Fire,2,,Bomb,XIII
