productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extDescription,extGTIN,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extCardType,extElement,extCost,extPower,extJob,extCategory,extSKU
233983,Opus XIV: Crystal Abyss Booster Box,Opus XIV Crystal Abyss Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/233983_200w.jpg,24,2792,https://cpt.tcgcsv.com/HCT2,2021-08-06T04:03:10.687,1,None,Each box includes 36 Opus XIV: Crystal Abyss Booster packs.,662248834184,229.99,237.48,250.0,231.36,,Normal,,,,,,,,
233984,Opus XIV: Crystal Abyss Booster Pack,Opus XIV Crystal Abyss Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/233984_200w.jpg,24,2792,https://cpt.tcgcsv.com/JCT2,2021-08-06T04:03:10.687,1,None,Each pack includes 12 cards.,662248834177,10.0,11.38,12.75,8.79,,Normal,,,,,,,,
242558,Barret,Barret,https://tcgplayer-cdn.tcgplayer.com/product/242558_200w.jpg,24,2792,https://cpt.tcgcsv.com/b2Z2,2021-08-12T13:19:10.82,1,Legend,"If Barret is dealt damage less than his power, the damage becomes 0 instead.
<br>The <em>Job AVALANCHE Operative</em> Forwards other than Barret you control gain <strong>Haste</strong>
<br>Discard 1 card: Choose 1 <em>Job AVALANCHE Operative</em> other than <em>Card Name Barret</em> in your Break Zone. Add it to your hand. You can only use this ability once per turn.",,6.5,7.59,8.99,10.04,,Normal,14-121L,Forward,Earth;Fire,4,9000,AVALANCE Operative,VII,
242558,Barret,Barret,https://tcgplayer-cdn.tcgplayer.com/product/242558_200w.jpg,24,2792,https://cpt.tcgcsv.com/b2Z2,2021-08-12T13:19:10.82,1,Legend,"If Barret is dealt damage less than his power, the damage becomes 0 instead.
<br>The <em>Job AVALANCHE Operative</em> Forwards other than Barret you control gain <strong>Haste</strong>
<br>Discard 1 card: Choose 1 <em>Job AVALANCHE Operative</em> other than <em>Card Name Barret</em> in your Break Zone. Add it to your hand. You can only use this ability once per turn.",,13.25,15.63,24.0,15.5,,Foil,14-121L,Forward,Earth;Fire,4,9000,AVALANCE Operative,VII,
242579,Tifa,Tifa,https://tcgplayer-cdn.tcgplayer.com/product/242579_200w.jpg,24,2792,https://cpt.tcgcsv.com/C2Z2,2021-08-12T13:19:49.78,1,Hero,"When Tifa enters the field, you may <strong>Search</strong> for 1 <em>Card Name Cloud</em> and add it your your hand.
<br>When a Forward other than Tifa you control attacks, it gains +1000 power until the end of the turn.
<br><em>Damage 6</em> — When Tifa enters the field, you may play 1 <em>Category VII</em> Character from your hand onto the field.",,6.71,6.99,15.0,8.66,,Normal,14-120H,Forward,Earth;Fire,2,5000,AVALANCE Operative,VII,
242579,Tifa,Tifa,https://tcgplayer-cdn.tcgplayer.com/product/242579_200w.jpg,24,2792,https://cpt.tcgcsv.com/C2Z2,2021-08-12T13:19:49.78,1,Hero,"When Tifa enters the field, you may <strong>Search</strong> for 1 <em>Card Name Cloud</em> and add it your your hand.
<br>When a Forward other than Tifa you control attacks, it gains +1000 power until the end of the turn.
<br><em>Damage 6</em> — When Tifa enters the field, you may play 1 <em>Category VII</em> Character from your hand onto the field.",,7.6,15.0,20.0,18.13,,Foil,14-120H,Forward,Earth;Fire,2,5000,AVALANCE Operative,VII,
242583,Gilgamesh (FFBE),Gilgamesh FFBE,https://tcgplayer-cdn.tcgplayer.com/product/242583_200w.jpg,24,2792,https://cpt.tcgcsv.com/H2Z2,2021-08-12T13:18:48.627,1,Legend,"If you have 3 or more different Elements among cards in your Break Zone, Gilgamesh (FFBE) gains +1000 power, <strong>Haste</strong> and <strong>First Strike</strong>, and if your have 7 or more, Gilgamesh (FFBE) also gains <strong>Brave</strong> and ""Gilgamesh (FFBE) can attack 3 times in the same turn.""
<br>When Gilgamesh (FFBE) attacks, choose 1 Character. If you have 5 or more different Elements among cards in your Break Zone, <strong>Dull</strong> it and <strong>Freeze</strong> it.",,28.99,38.99,49.0,37.44,,Normal,14-023L,Forward,Ice,3,7000,Winged One,FFBE,
242583,Gilgamesh (FFBE),Gilgamesh FFBE,https://tcgplayer-cdn.tcgplayer.com/product/242583_200w.jpg,24,2792,https://cpt.tcgcsv.com/H2Z2,2021-08-12T13:18:48.627,1,Legend,"If you have 3 or more different Elements among cards in your Break Zone, Gilgamesh (FFBE) gains +1000 power, <strong>Haste</strong> and <strong>First Strike</strong>, and if your have 7 or more, Gilgamesh (FFBE) also gains <strong>Brave</strong> and ""Gilgamesh (FFBE) can attack 3 times in the same turn.""
<br>When Gilgamesh (FFBE) attacks, choose 1 Character. If you have 5 or more different Elements among cards in your Break Zone, <strong>Dull</strong> it and <strong>Freeze</strong> it.",,45.75,49.98,50.94,58.75,,Foil,14-023L,Forward,Ice,3,7000,Winged One,FFBE,
242584,Larsa EX,Larsa EX,https://tcgplayer-cdn.tcgplayer.com/product/242584_200w.jpg,24,2792,https://cpt.tcgcsv.com/J2Z2,2021-08-06T04:03:10.687,1,Legend,"<strong>EX BURST</strong> When Larsa enters the field, choose 1 card in your Damage Zone. Add it to your hand. Put 1 card from your hand into the Damage Zone (Its EX Burst effect will not trigger).
<br>The Forwards you control gain +2000 power for every 3 cards with EX Burst in your Damage Zone.",,1.5,3.94,5.0,1.97,,Normal,14-112L,Forward,Water,2,5000,Fourth Son of the Emperor,XII,
242584,Larsa EX,Larsa EX,https://tcgplayer-cdn.tcgplayer.com/product/242584_200w.jpg,24,2792,https://cpt.tcgcsv.com/J2Z2,2021-08-06T04:03:10.687,1,Legend,"<strong>EX BURST</strong> When Larsa enters the field, choose 1 card in your Damage Zone. Add it to your hand. Put 1 card from your hand into the Damage Zone (Its EX Burst effect will not trigger).
<br>The Forwards you control gain +2000 power for every 3 cards with EX Burst in your Damage Zone.",,3.79,3.92,7.92,4.7,,Foil,14-112L,Forward,Water,2,5000,Fourth Son of the Emperor,XII,
242823,Garland,Garland,https://tcgplayer-cdn.tcgplayer.com/product/242823_200w.jpg,24,2792,https://cpt.tcgcsv.com/t8Z2,2021-08-06T04:03:10.687,1,Legend,"If Garland is dealt damage by a Summon or an ability, the damage becomes 0 instead.
<br>When a Backup is put from the field into the Break Zone, draw 1 card.
<br><strong>Flare</strong> ST: Choose 1 Forward. Break it. Then, your opponent selects 1 Backup they control. Put it into the Break Zone.",,16.0,18.25,29.99,17.45,,Foil,14-007L,Forward,Fire,4,8000,Knight,I,
242823,Garland,Garland,https://tcgplayer-cdn.tcgplayer.com/product/242823_200w.jpg,24,2792,https://cpt.tcgcsv.com/t8Z2,2021-08-06T04:03:10.687,1,Legend,"If Garland is dealt damage by a Summon or an ability, the damage becomes 0 instead.
<br>When a Backup is put from the field into the Break Zone, draw 1 card.
<br><strong>Flare</strong> ST: Choose 1 Forward. Break it. Then, your opponent selects 1 Backup they control. Put it into the Break Zone.",,12.5,17.72,20.0,17.22,,Normal,14-007L,Forward,Fire,4,8000,Knight,I,
243327,Shinryu,Shinryu,https://tcgplayer-cdn.tcgplayer.com/product/243327_200w.jpg,24,2792,https://cpt.tcgcsv.com/zlZ2,2021-08-12T13:19:28.173,1,Legend,"When Shinryu enters the field, deal 10000 damage to all the Forwards of cost 3, 6 and 9 opponents controls.
<br>At the beginning of Main Phase 1 during each of your turns, reveal the top card of opponent's deck. If it is a Forward, all the Forwards opponent controls lose 7000 power until the end of the turn. If it is not a Forward, draw 2 card.",,17.0,18.5,28.0,12.45,,Foil,14-115L,Forward,Light,5,9000,Dragon,Special,
243327,Shinryu,Shinryu,https://tcgplayer-cdn.tcgplayer.com/product/243327_200w.jpg,24,2792,https://cpt.tcgcsv.com/zlZ2,2021-08-12T13:19:28.173,1,Legend,"When Shinryu enters the field, deal 10000 damage to all the Forwards of cost 3, 6 and 9 opponents controls.
<br>At the beginning of Main Phase 1 during each of your turns, reveal the top card of opponent's deck. If it is a Forward, all the Forwards opponent controls lose 7000 power until the end of the turn. If it is not a Forward, draw 2 card.",,5.55,10.0,13.98,7.35,,Normal,14-115L,Forward,Light,5,9000,Dragon,Special,
243328,Shinryu (Full Art),Shinryu Full Art,https://tcgplayer-cdn.tcgplayer.com/product/243328_200w.jpg,24,2792,https://cpt.tcgcsv.com/BlZ2,2021-08-06T04:03:10.687,1,Legend,"When Shinryu enters the field, deal 10000 damage to all the Forwards of cost 3, 6 and 9 opponents controls.
<br>At the beginning of Main Phase 1 during each of your turns, reveal the top card of opponent's deck. If it is a Forward, all the Forwards opponent controls lose 7000 power until the end of the turn. If it is not a Forward, draw 2 card.",,35.0,35.0,65.94,42.5,,Foil,14-115L,Forward,Light,5,9000,Dragon,Special,
